theta,rho,row_sum_error,P_inf_norm,inner_count,outer_count,annulus_count,family_lower,family_upper
0.155,0.9953579405553633,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.16,0.995361625134677,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.165,0.9953652373691996,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.17,0.995368785651741,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.17500000000000002,0.9953722779810767,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.18,0.9953757219664707,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.185,0.9953791248356492,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.19,0.9953824934454957,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.195,0.995385834294981,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.2,0.9953891535396604,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.20500000000000002,0.9953924570074011,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.21,0.9953957502148725,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.215,0.9953990383845837,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.22,0.9954023264621098,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.225,0.9954056191333727,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.23,0.9954089208417253,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.23500000000000001,0.9954122358047908,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.24,0.9954155680308757,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.245,0.9954189213349343,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.25,0.9954222993539448,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.255,0.9954257055617799,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.26,0.9954291432834121,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.265,0.9954326157085829,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.27,0.99543612590476,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.275,0.9954396768295769,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.28,0.9954432713426399,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.28500000000000003,0.9954469122167598,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.29,0.9954506021486401,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.295,0.9954543437690505,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.3,0.9954581396524704,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.305,0.995461992326309,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.31,0.9954659042796544,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.315,0.9954698779716415,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.32,0.9954739158394371,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
